1,504,肠脂肪肉芽肿症,肠脂肪肉芽肿症
1,366,Wilson病,Wilson病
1,4464,胃憩室,胃憩室
1,3616,肝硬化,肝硬化
1,3298,肠子宫内膜异位,肠子宫内膜异位
1,3154,Alagille综合征,Alagille综合征
1,3176,病毒性食管炎,病毒性食管炎
1,4158,热带性口炎性腹泻,热带性口炎性腹泻
1,3542,肝肺综合征,肝肺综合症
1,4852,直肠脱垂,直肠脱垂
1,4890,真菌性食管炎,真菌性食管炎
1,3712,结肠炎,结肠炎
1,4531,小肠疝气,小肠疝气
1,3367,胆石,胆石
1,2333,肠闭锁,肠闭锁
1,3318,短肠综合征,短肠综合征
1,3981,盲襻综合征,盲襻综合征
1,4449,胃溃疡,胃溃疡
1,421,肝肾综合征,肝肾综合征
1,4276,食管炎,食管炎
1,3918,痢疾,痢疾
1,1182,裂孔疝,裂孔疝
1,4610,涎石病,涎石病
1,4117,倾倒综合征,倾倒综合征
1,4239,十二指肠溃疡,十二指肠溃疡
1,3195,便秘,便秘
1,4856,直肠炎,直肠炎
1,4502,胃炎,胃炎
1,1324,嗜酸细胞性胃肠炎,嗜酸细胞性胃肠炎
1,4426,胃病,胃病
1,3483,腹膜炎,腹膜炎
1,3247,肠梗阻,肠梗阻
1,3954,麻痹性肠梗阻,麻痹性肠梗阻
1,3277,肠套叠,肠套叠
1,3888,溃疡性结肠炎,溃疡性结肠炎
1,4246,十二指肠炎,十二指肠炎
1,4495,萎缩性胃炎,萎缩性胃炎
1,3991,慢性胆管炎,慢性胆管炎
1,3361,胆囊切除术后综合征,胆囊切除术后综合征
1,4429,胃肠道功能紊乱,胃肠道功能紊乱
1,3636,肝脏炎性假瘤,肝脏炎性假瘤
1,4253,食管白斑,食管白斑
1,3870,克罗恩病,克罗恩病
1,4653,先天性巨结肠,先天性巨结肠
0.947368421,3260,肠气囊症,肠气囊肿
0.923076923,4743,原发性胆汁性肝硬变,原发性胆汁性肝硬化
0.892857143,4473,胃食管返流疾病,胃食管反流病
0.885714286,3302,蛋白丢失性肠病,蛋白丢失性胃肠病
0.857142857,3707,结肠憩室炎,结肠憩室病
